,count_of_variables,times_of_solves,ratios,logs
0,2,2.048492431640625e-05,,
1,4,1.0025501251220702e-05,0.4894087523277467,-1.0308881928429061
2,8,0.0006175875663757324,61.601664684898935,5.94489743282374
3,16,0.000460658073425293,0.7458992028104311,-0.4229474100244539
4,32,0.00199420690536499,4.329039303570134,2.1140468989120866
5,64,0.005752429962158203,2.884570275372386,1.5283564114995798
6,128,0.01016906499862671,1.7677859731492442,0.8219436173949219
7,256,0.022403202056884765,2.2030739364838583,1.1395179135629292
8,512,0.03500633716583252,1.5625595429147443,0.6439111661786315
9,1024,0.11355489492416382,3.2438382338097798,1.6977018759363558
10,2048,0.28067090749740603,2.471675991465172,1.3054896347700178
