,count_of_variables,times_of_solves,ratios,logs
0,2,0.0030100345611572266,,
1,4,0.0,0.0,-inf
2,8,0.0029859542846679688,inf,inf
3,16,0.0009374618530273438,0.3139572021718301,-1.6713601867980892
4,32,0.0009968280792236328,1.063326551373347,0.08858472170355698
5,64,0.0019931793212890625,1.9995216455393447,0.9996548989241076
6,128,0.003986358642578125,2.0,1.0
7,256,0.007967472076416016,1.9986842105263158,0.9990505461711356
8,512,0.022917747497558594,2.876413908671973,1.52427129087548
9,1024,0.05781078338623047,2.522533394365611,1.334873368466126
10,2048,0.21827054023742676,3.775602533859021,1.9167068969528833
11,4096,1.4523813724517822,6.654042139044209,2.734231002619578
12,8192,7.144152641296387,4.9189233467214315,2.2983425732221447
13,16384,49.75533175468445,6.964483298841692,2.8000163219793586
14,32768,537.2371580600739,10.79757965857585,3.4326360548783192
