,count_of_variables,times_of_solves,ratios,logs
0,2,4.0059089660644534e-05,,
1,4,6.0083866119384763e-05,1.4998809665516009,0.5848480102012253
2,8,0.0007882785797119141,13.119638109598826,3.713656020278741
3,16,0.0017967653274536134,2.279353230821346,1.1886245160317195
4,32,0.0032909369468688966,1.8315897444063172,0.8730963920854593
5,64,0.011588447093963623,3.5213215206050195,1.8161169610849262
6,128,0.015339090824127197,1.3236536957671636,0.4045257227873523
7,256,0.03755530834197998,2.448339916138211,1.2918038690122784
8,512,0.08884860038757324,2.3658067077632463,1.2423322067533806
9,1024,0.17936712503433228,2.018795166743216,1.0134945377545546
10,2048,0.4535667037963867,2.528705880241825,1.3383992434888072
